NAZEVZAST;KODZASTUP;NADRZASTUP
Želechovice nad Dřevnicí;500011;500011
Petrov nad Desnou;500020;500020
Libhošť;500046;500046
Praha 1;500054;554782
Krhová;500062;500062
Poličná;500071;500071
Praha 2;500089;554782
Praha 3;500097;554782
Bražec;500101;500101
Praha 4;500119;554782
Doupovské Hradiště;500127;500127
Kozlov;500135;500135
Praha 5;500143;554782
Luboměř pod Strážnou;500151;500151
Město Libavá;500160;500160
Praha 6;500178;554782
Praha 7;500186;554782
Polná na Šumavě;500194;500194
Praha 8;500208;554782
Praha 9;500216;554782
Praha 10;500224;554782
Veřovice;500259;500259
Vřesina;500291;500291
Olomouc;500496;500496
Bělkovice-Lašťany;500526;500526
Bílá Lhota;500623;500623
Blatec;500801;500801
Bohuňovice;500852;500852
Bouzov;500861;500861
Bystročice;500879;500879
Ústí nad Labem-Severní Terasa;501298;554804
Dlouhá Loučka;501476;501476
Dolany;501646;501646
Drahanovice;501751;501751
Dub nad Moravou;501794;501794
Grygov;501841;501841
Ústí nad Labem-Neštěmice;502081;554804
Hlubočky;502146;502146
Hněvotín;502235;502235
Ústí nad Labem-Střekov;502316;554804
Hnojice;502405;502405
Horka nad Moravou;502545;502545
Cholina;502839;502839
Jívová;503142;503142
Kožušany-Tážaly;503304;503304
Žitovlice;503410;503410
Litovel;503444;503444
Luká;503622;503622
Lutín;503657;503657
Majetín;503738;503738
Kostelec;503916;503916
Mladeč;504246;504246
Dřenice;504301;504301
Náklo;504441;504441
Náměšť na Hané;504505;504505
Paseka;504785;504785
Lány;504807;504807
Třibřichy;504921;504921
Dvakačovice;504955;504955
Bítovany;505005;505005
Příkazy;505013;505013
Dolní Bezděkov;505030;505030
Senice na Hané;505081;505081
Červená Hora;505099;505099
Slatinice;505111;505111
Březová nad Svitavou;505145;505145
Štěpánov;505161;505161
Šternberk;505188;505188
Šumvald;505218;505218
Těšetice;505269;505269
Troubelice;505293;505293
Tršice;505366;505366
Bělá u Jevíčka;505391;505391
Újezd;505501;505501
Jenčice;505528;505528
Uničov;505587;505587
Velká Bystřice;505609;505609
Velký Týnec;505650;505650
Velký Újezd;505668;505668
Zápy;505781;505781
Žerotín;505862;505862
Opava;505927;
Bohuslavice;506192;506192
Bolatice;506214;506214
Brumovice;506320;506320
Březová;506451;506451
Budišov nad Budišovkou;506460;506460
Boží Dar;506486;506486
Nové Hamry;506494;506494
Čichalov;506621;506621
Skořice;506664;506664
Otmarov;506699;506699
Dolní Benešov;506702;506702
Dolní Lhota;506711;506711
Dvorce;506729;506729
Chvalčov;506737;506737
Háj ve Slezsku;506753;506753
Alojzov;506761;506761
Seloutky;506770;506770
Hlučín;507016;507016
Nýdek;507091;507091
Hněvošice;507105;507105
Holasovice;507113;507113
Pržno;507181;507181
Komorní Lhotka;507237;507237
Hrabyně;507261;507261
Hradec nad Moravicí;507270;507270
Chuchelná;507334;507334
Jakartovice;507377;507377
Janovice;507423;507423
Košařiska;507458;507458
Kobeřice;507504;507504
Milíkov;507547;507547
Kravaře;507580;507580
Doňov;507610;507610
Pleše;507628;507628
Újezdec;507644;507644
Višňová;507652;507652
Záhoří;507695;507695
Peč;507717;507717
Březina;507733;507733
Ratiboř;507784;507784
Litultovice;507920;507920
Ludgeřovice;507971;507971
Roseč;508004;508004
Markvartovice;508128;508128
Melč;508144;508144
Střížovice;508152;508152
Kostelní Vydří;508357;508357
Mokré Lazce;508373;508373
Lužnice;508501;508501
Záblatí;508683;508683
Plavsko;509078;509078
Kostelní Radouň;509108;509108
