NÁZEV,datum,druh
sněmovní volby 2006,2.–3. června 2006,sněmovní
komunální volby 2006,20.–21. října 2006,komunální
krajské volby 2008,17.–18. října 2008,krajské
evropské volby 2009,5.–6. června 2009,evropské
sněmovní volby 2010,28.–29. května 2010,sněmovní
komunální volby 2010,15.–16. října 2010,komunální
krajské volby 2012,12.–13. října 2012,krajské
prezidentské volby 2013,11.–12. ledna 2013 (1. kolo) a 25.–26. ledna 2013 (2. kolo),prezidentské
sněmovní volby 2013,25.–26. října 2013,sněmovní
komunální volby 2014,10.–11. října 2014,komunální
krajské volby 2016,7.–8. října 2016,krajské
sněmovní volby 2017,20.–21. října 2017,sněmovní
prezidentské volby 2018,12.–13. ledna 2018 (1. kolo) a 26.–27. ledna 2018 (2. kolo),prezidentské
komunální volby 2018,5.–6. října 2018,komunální
evropské volby 2019,24.–25. května 2019,evropské
krajské volby 2020,2.–3. října 2020,krajské
sněmovní volby 2021,8.–9. října 2021,sněmovní
komunální volby 2022,23.–24. září 2022,komunální
prezidentské volby 2023,13.–14. ledna 2023 (1. kolo) a 27.–28. ledna 2023 (2. kolo),prezidentské
evropské volby 2024,7.–8. června 2024,evropské
krajské volby 2024,20.–21. září 2024,krajské
sněmovní volby 2025,3.–4. října 2025,sněmovní
