NAZEVZAST;KODZASTUP;NADRZASTUP
elechovice nad Døevnicí;500011;500011
Petrov nad Desnou;500020;500020
Libhoš;500046;500046
Praha 1;500054;554782
Krhová;500062;500062
Polièná;500071;500071
Praha 2;500089;554782
Praha 3;500097;554782
Braec;500101;500101
Praha 4;500119;554782
Doupovské Hradištì;500127;500127
Kozlov;500135;500135
Praha 5;500143;554782
Lubomìø pod Stránou;500151;500151
Mìsto Libavá;500160;500160
Praha 6;500178;554782
Praha 7;500186;554782
Polná na Šumavì;500194;500194
Praha 8;500208;554782
Praha 9;500216;554782
Praha 10;500224;554782
Veøovice;500259;500259
Vøesina;500291;500291
Olomouc;500496;500496
Bìlkovice-Lašany;500526;500526
Bílá Lhota;500623;500623
Blatec;500801;500801
Bohuòovice;500852;500852
Bouzov;500861;500861
Bystroèice;500879;500879
Ústí nad Labem-Severní Terasa;501298;554804
Dlouhá Louèka;501476;501476
Dolany;501646;501646
Drahanovice;501751;501751
Dub nad Moravou;501794;501794
Grygov;501841;501841
Ústí nad Labem-Neštìmice;502081;554804
Hluboèky;502146;502146
Hnìvotín;502235;502235
Ústí nad Labem-Støekov;502316;554804
Hnojice;502405;502405
Horka nad Moravou;502545;502545
Cholina;502839;502839
Jívová;503142;503142
Koušany-Táaly;503304;503304
itovlice;503410;503410
Litovel;503444;503444
Luká;503622;503622
Lutín;503657;503657
Majetín;503738;503738
Kostelec;503916;503916
Mladeè;504246;504246
Døenice;504301;504301
Náklo;504441;504441
Námìš na Hané;504505;504505
Paseka;504785;504785
Lány;504807;504807
Tøibøichy;504921;504921
Dvakaèovice;504955;504955
Bítovany;505005;505005
Pøíkazy;505013;505013
Dolní Bezdìkov;505030;505030
Senice na Hané;505081;505081
Èervená Hora;505099;505099
Slatinice;505111;505111
Bøezová nad Svitavou;505145;505145
Štìpánov;505161;505161
Šternberk;505188;505188
Šumvald;505218;505218
Tìšetice;505269;505269
Troubelice;505293;505293
Tršice;505366;505366
Bìlá u Jevíèka;505391;505391
Újezd;505501;505501
Jenèice;505528;505528
Unièov;505587;505587
Velká Bystøice;505609;505609
Velkı Tınec;505650;505650
Velkı Újezd;505668;505668
Zápy;505781;505781
erotín;505862;505862
Opava;505927;
Bohuslavice;506192;506192
Bolatice;506214;506214
Brumovice;506320;506320
Bøezová;506451;506451
Budišov nad Budišovkou;506460;506460
Boí Dar;506486;506486
Nové Hamry;506494;506494
Èichalov;506621;506621
Skoøice;506664;506664
Otmarov;506699;506699
Dolní Benešov;506702;506702
Dolní Lhota;506711;506711
Dvorce;506729;506729
Chvalèov;506737;506737
Háj ve Slezsku;506753;506753
Alojzov;506761;506761
Seloutky;506770;506770
Hluèín;507016;507016
Nıdek;507091;507091
Hnìvošice;507105;507105
Holasovice;507113;507113
Prno;507181;507181
Komorní Lhotka;507237;507237
Hrabynì;507261;507261
Hradec nad Moravicí;507270;507270
Chuchelná;507334;507334
Jakartovice;507377;507377
Janovice;507423;507423
Košaøiska;507458;507458
Kobeøice;507504;507504
Milíkov;507547;507547
Kravaøe;507580;507580
Doòov;507610;507610
Pleše;507628;507628
Újezdec;507644;507644
Višòová;507652;507652
Záhoøí;507695;507695
Peè;507717;507717
Bøezina;507733;507733
Ratiboø;507784;507784
Litultovice;507920;507920
Ludgeøovice;507971;507971
Roseè;508004;508004
Markvartovice;508128;508128
Melè;508144;508144
Støíovice;508152;508152
